,Date,Time,Datetime,Team,Park,Address,Latitude,Longitude,Region,Dome Flag,Last Game of Homestead Flag,Double Header Flag
616,2022-05-22,1:40 pm,2022-05-22 13:40:00,Miami Marlins,Marlins Park,"2269 NW 199th Street, Miami, FL 33056",25.954428,-80.238164,Southeast,1,1,0
617,2022-05-22,1:40 pm,2022-05-22 13:40:00,Cleveland Guardians,Progressive Field,"2401 Ontario Street, Cleveland, OH 44115",41.495149,-81.68709,Midwest,0,1,0
618,2022-05-22,2:10 pm,2022-05-22 14:10:00,Kansas City Royals,Kauffman Stadium,"P.O. Boz 419969, Kansas City, MO 64141",39.10222,-94.583559,Midwest,0,1,0
619,2022-05-22,2:10 pm,2022-05-22 14:10:00,Milwaukee Brewers,Miller Park,"P.O. Box 3099, Milwaukee, WI 53201-3099",43.04205,-87.905599,Midwest,1,1,0
620,2022-05-22,2:10 pm,2022-05-22 14:10:00,Houston Astros,Minute Maid Park,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.369784,Southwest,1,0,0
621,2022-05-22,2:20 pm,2022-05-22 14:20:00,Chicago Cubs,Wrigley Field,"1060 Addison Street, Chicago, IL 60616",41.947201,-87.656413,Midwest,0,1,0
622,2022-05-22,3:10 pm,2022-05-22 15:10:00,Colorado Rockies,Coors Field,"2001 Blake Street, Denver, CO 80205-2000",39.75698,-104.965329,Rocky Mountains,0,1,0
623,2022-05-22,4:05 pm,2022-05-22 16:05:00,San Francisco Giants,Oracle Park,"24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389754,Pacific,0,0,0
624,2022-05-22,4:07 pm,2022-05-22 16:07:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
625,2022-05-22,7:08 pm,2022-05-22 19:08:00,New York Yankees,Yankee Stadium,"E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.929939,Northeast,0,0,0
626,2022-05-23,6:35 pm,2022-05-23 18:35:00,Pittsburgh Pirates,PNC Park,"600 Stadium Circle, Pittsburgh, PA 15212",40.461503,-80.008924,Northeast,0,0,0
627,2022-05-23,6:40 pm,2022-05-23 18:40:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
628,2022-05-23,7:05 pm,2022-05-23 19:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
629,2022-05-23,7:05 pm,2022-05-23 19:05:00,New York Yankees,Yankee Stadium,"E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.929939,Northeast,0,0,0
630,2022-05-23,7:20 pm,2022-05-23 19:20:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
631,2022-05-23,7:40 pm,2022-05-23 19:40:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
632,2022-05-23,7:45 pm,2022-05-23 19:45:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
633,2022-05-23,8:10 pm,2022-05-23 20:10:00,Houston Astros,Minute Maid Park,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.369784,Southwest,1,0,0
634,2022-05-23,9:40 pm,2022-05-23 21:40:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
635,2022-05-23,9:40 pm,2022-05-23 21:40:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,0,0
636,2022-05-23,9:40 pm,2022-05-23 21:40:00,Seattle Mariners,T-Mobile Park,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829,Pacific,1,0,0
637,2022-05-23,9:45 pm,2022-05-23 21:45:00,San Francisco Giants,Oracle Park,"24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389754,Pacific,0,0,0
638,2022-05-24,6:35 pm,2022-05-24 18:35:00,Pittsburgh Pirates,PNC Park,"600 Stadium Circle, Pittsburgh, PA 15212",40.461503,-80.008924,Northeast,0,0,0
639,2022-05-24,6:40 pm,2022-05-24 18:40:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
640,2022-05-24,6:40 pm,2022-05-24 18:40:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,0,0
641,2022-05-24,7:05 pm,2022-05-24 19:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
642,2022-05-24,7:05 pm,2022-05-24 19:05:00,New York Yankees,Yankee Stadium,"E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.929939,Northeast,0,0,0
643,2022-05-24,7:20 pm,2022-05-24 19:20:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
644,2022-05-24,7:40 pm,2022-05-24 19:40:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
645,2022-05-24,7:45 pm,2022-05-24 19:45:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
646,2022-05-24,8:10 pm,2022-05-24 20:10:00,Chicago White Sox,Guaranteed Rate Field,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083,Midwest,0,0,0
647,2022-05-24,8:10 pm,2022-05-24 20:10:00,Houston Astros,Minute Maid Park,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.369784,Southwest,1,0,0
648,2022-05-24,9:38 pm,2022-05-24 21:38:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
649,2022-05-24,9:40 pm,2022-05-24 21:40:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
650,2022-05-24,9:40 pm,2022-05-24 21:40:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,0,0
651,2022-05-24,9:40 pm,2022-05-24 21:40:00,Seattle Mariners,T-Mobile Park,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829,Pacific,1,0,0
652,2022-05-24,9:45 pm,2022-05-24 21:45:00,San Francisco Giants,Oracle Park,"24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389754,Pacific,0,0,0
653,2022-05-25,12:35 pm,2022-05-25 12:35:00,Pittsburgh Pirates,PNC Park,"600 Stadium Circle, Pittsburgh, PA 15212",40.461503,-80.008924,Northeast,0,1,0
654,2022-05-25,1:10 pm,2022-05-25 13:10:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
655,2022-05-25,3:45 pm,2022-05-25 15:45:00,San Francisco Giants,Oracle Park,"24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389754,Pacific,0,1,0
656,2022-05-25,4:05 pm,2022-05-25 16:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
657,2022-05-25,4:10 pm,2022-05-25 16:10:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,0,0
658,2022-05-25,4:10 pm,2022-05-25 16:10:00,Seattle Mariners,T-Mobile Park,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829,Pacific,1,0,0
659,2022-05-25,6:40 pm,2022-05-25 18:40:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
660,2022-05-25,6:40 pm,2022-05-25 18:40:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,0,0
661,2022-05-25,7:05 pm,2022-05-25 19:05:00,New York Yankees,Yankee Stadium,"E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.929939,Northeast,0,1,0
662,2022-05-25,7:20 pm,2022-05-25 19:20:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
663,2022-05-25,8:10 pm,2022-05-25 20:10:00,Chicago White Sox,Guaranteed Rate Field,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083,Midwest,0,0,0
664,2022-05-25,8:10 pm,2022-05-25 20:10:00,Houston Astros,Minute Maid Park,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.369784,Southwest,1,1,0
665,2022-05-25,9:38 pm,2022-05-25 21:38:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
666,2022-05-26,12:35 pm,2022-05-26 12:35:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
667,2022-05-26,6:40 pm,2022-05-26 18:40:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,0,0
668,2022-05-26,7:05 pm,2022-05-26 19:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
669,2022-05-26,7:10 pm,2022-05-26 19:10:00,Detroit Tigers,Comerica Park,"2100 Woodward Ave., Detroit, MI 48201",42.346354,-83.059619,Midwest,0,0,0
670,2022-05-26,7:20 pm,2022-05-26 19:20:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
671,2022-05-26,7:40 pm,2022-05-26 19:40:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
672,2022-05-26,7:45 pm,2022-05-26 19:45:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
673,2022-05-26,8:10 pm,2022-05-26 20:10:00,Chicago White Sox,Guaranteed Rate Field,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083,Midwest,0,0,0
674,2022-05-26,9:38 pm,2022-05-26 21:38:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
675,2022-05-26,9:40 pm,2022-05-26 21:40:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
676,2022-05-26,9:40 pm,2022-05-26 21:40:00,Oakland Athletics,Oakland Coliseum,"700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.196487,Pacific,0,0,0
677,2022-05-27,6:40 pm,2022-05-27 18:40:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,0,0
678,2022-05-27,7:05 pm,2022-05-27 19:05:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,0,0
679,2022-05-27,7:10 pm,2022-05-27 19:10:00,New York Mets,Citi Field,"Roosevelt Ave & 126th Street, New York, NY 11368",40.75535,-73.843219,Northeast,0,0,0
680,2022-05-27,7:10 pm,2022-05-27 19:10:00,Detroit Tigers,Comerica Park,"2100 Woodward Ave., Detroit, MI 48201",42.346354,-83.059619,Midwest,0,0,0
681,2022-05-27,7:10 pm,2022-05-27 19:10:00,Boston Red Sox,Fenway Park,"4 Yawkey Way, Boston, MA 02215",42.346613,-71.098817,Northeast,0,0,0
682,2022-05-27,7:10 pm,2022-05-27 19:10:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,0,0
683,2022-05-27,7:20 pm,2022-05-27 19:20:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,0,0
684,2022-05-27,8:10 pm,2022-05-27 20:10:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,0,0
685,2022-05-27,8:15 pm,2022-05-27 20:15:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
686,2022-05-27,9:38 pm,2022-05-27 21:38:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,0,0
